date,source,title,text,url
2026-05-02,Google News,USAF 35th Wing Division Takes Delivery of 1st Most Advanced Fighter Jet in the World - Aviation A2Z,USAF 35th Wing Division Takes Delivery of 1st Most Advanced Fighter Jet in the World  Aviation A2Z,https://news.google.com/rss/articles/CBMilgFBVV95cUxOM1EydllLNV81ZVdETE5GUnFWUVVFS052SnlRNHVNUERNbklZWl9oc0hmemJRdWNkZVpYeFk2RU1pS3oxbzJuTGJ5TFRIZVAwMmtmaFUyaHhKRU8tSE5nMlY0dWZWS3dRc21yWFRUazZKR1Zyd1dSYW5GOHY1d0I4MExETTlhR2Y4eWdXZ1ZMalJJX0FTOXc?oc=5
2026-05-01,Google News,How Many Hours Can The F-35 Fly On Internal Fuel? - Simple Flying,How Many Hours Can The F-35 Fly On Internal Fuel?  Simple Flying,https://news.google.com/rss/articles/CBMidkFVX3lxTFBHdVNxb0lRbURMV2g4Q2tRbE9wdWZPdlFYc3puX1RCSHVOa2VlUE1DUXQ5RmZHME5iMDNUMnExMkN3M29zRjNBaGRCZTFWSWtFTm5xZEFEenJ0WDBxYngtbGItaWl2WGRaSVU3VHJ3dVBqbXhzWHc?oc=5
2026-05-02,Google News,I Discovered the 1 Reason the F-35C Stealth Fighter Dominates Aircraft Carrier Operations - 19FortyFive,I Discovered the 1 Reason the F-35C Stealth Fighter Dominates Aircraft Carrier Operations  19FortyFive,https://news.google.com/rss/articles/CBMixAFBVV95cUxPMTJxOWhVaGtsdklmUHYtQWVuVmQ4cGppN1N0NldVUnBaS3ZVNnZ4WDZMbG1MNklOaHhyQ00wWnZTR0huc1p6ME05S25WSUlPa0FFeEswYXc3WDktUEZUYzNRS0lSUkRwSlFSYjZpWE1uQTNBWm9aSURseUZJYm9CdXE1SW1LOE1pc2lXVmdGdnZGTFYzQ0lsMGZrTUc3TFM1bndzc1hjWVZId2JmQUs0cHI1RDRMZ0kyMlNkVVl1TjFvbFVC?oc=5
2026-04-30,Google News,UK Babel Fish Trials Broaden F-35 Data Sharing To Ground Units - Aviation Week,UK Babel Fish Trials Broaden F-35 Data Sharing To Ground Units  Aviation Week,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPWnBobU1HdWFQdkZZZk1qYTE1Nno3ZWZGUUVPc2tiOVBxVi1OOF93Z05IVTNvSldkS2l2dFFOZF9wSkZ6dVdEaVBIY3Y2OVczd1hOUklmZkZldmMyV0FReS1MUFQyWW5Ba3FVbzEwaFNiNFpRX3VtcTFGT3lrZ29yTVlvQVI5LVBFc3ZFSmlWc1NMTC03R0N0X2l4bEU0VFNaQlJ5NlN5SVdTQk5Ja1gxNVVDakwwX09jaW5z?oc=5
2026-04-27,Google News,US Invests in F-35 Test Fleet to Fast-Track Future Upgrades - The Defense Post,US Invests in F-35 Test Fleet to Fast-Track Future Upgrades  The Defense Post,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1TUzFnZ01ETnFKU0VYc0V6S3MzVVJVdWE3VmNHaUtlQVNSNHNIWGtqZFNfSVNOS29wNHJDcXJyaVktTHRTQmVfbUZ3ZHRsbC1fTTlVRng3MHlYNWNoUGMwSg?oc=5
2026-05-01,AP,"""You're Taking It To War, Not To the Senior Prom"": The Boeing X-32 Stealth Fighter Was No Paper Tiger - National Security Journal","""You're Taking It To War, Not To the Senior Prom"": The Boeing X-32 Stealth Fighter Was No Paper Tiger  National Security Journal",https://news.google.com/rss/articles/CBMizgFBVV95cUxQYWlfY2ZMd01hTXFqeERIcnBFTUNIZFJMbXlhVmp1NEZrdDJhUTBkRmlLdEY0bWdUNXRnNkpiTnB0eGxySWVLTUttU3o2eDBFSEpDaExIS3RSSU96elBVMHRlWFhxb0VjdUpJVjZpRmNzQ3hxbEdITjBTTWtZbEpxT19mbWs1bXZKbFZxcnotQ195SkJpU0N1ZWd0dF95S2Nka2lsU2NsUnZKRkN5dDJ2SVYzdWVqMzhVMlozbVdIZGdXbUtIWHdUTDRvVVQxUQ?oc=5
2026-04-29,Google News,Pentagon expands fleet of F-35 ‘flight science’ test aircraft - FlightGlobal,Pentagon expands fleet of F-35 ‘flight science’ test aircraft  FlightGlobal,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQU3pYZHE4RkxTLUQwdXR2by1pbVhxVzFJTVR4ZFFEX0JNOG0yblplOWl4dHZnWTYwN3YtcHo3YVpMMFRMTlpTX1hhbkp1cmthRU9GOUI5OXh6TVJzUjV1MGV1VkJGM3JUNklGbEVtMXR2cl9MWjA5LUpRcXpXRUg0ckcwR19ZUmpZMk9RdGdOdlQxT3JsTXA0WnFjbXRRT3d4eUVUQTJCNkQ?oc=5
2026-03-20,Google News,New F-35 Joint Strike Fighters expected to lack radars: Report - NewsNation,New F-35 Joint Strike Fighters expected to lack radars: Report  NewsNation,https://news.google.com/rss/articles/CBMihgFBVV95cUxNWGhxS3pqX2k1VjNJVkdSYlIyRnJfUU1VZG45NkVYdzc1b3dzVGRtQTZ4WWpKNHcyWm9RLTZlamVkb2swQUtvdE9CZUJzb281ZGkwMjZrcnRiblpHZU1jZnpOdVhSeXdMbEFFeUNHTGJadFlueXZHa3FBODN6a1lyVmVVaGFYd9IBiwFBVV95cUxNVmJjMldiZ2t0d2dXRnY1RDBDVVNyNEtZWWdEbmh1VWlqX3FSSmRHZG1MT01jR1Z6QlVmOVFXQmpMeUxZMTVqOTJyQ1owOVVJYmROMHlNODYtdnlfQ0dnRGZCMGNiODIxU2o0Mk96ZEg4amo4WnBWSmFreTdrYzJsaVhLdFpVWWFybGZN?oc=5
2026-04-30,Google News,How The F-35's Automated Departure Resistance System Prevents Spins For Pilots In Combat Maneuvers - Simple Flying,How The F-35's Automated Departure Resistance System Prevents Spins For Pilots In Combat Maneuvers  Simple Flying,https://news.google.com/rss/articles/CBMiogFBVV95cUxOeldOcVg3RnlWUU1wbkIyVkpiRmY0Q1kxbk5fVC1aLU5BdUJ1RlI1Q0RLbU95ek9tNm5DaFhkV0haemVKeXRWR3U0LUxvUWFRWWFTSTZaeTJRWmtqUmwwUVlpdTlRdTFPWGI2d0FqcUNfTXdjdDBKcEd0R1FkcklhdW5YSVhoZFZJeG5CZWh4OXpYRGxMMDd6dXEtTTVtRm5kTVE?oc=5
2026-04-21,Google News,Air Force eyes massive boost for F-15EX fleet - Breaking Defense,Air Force eyes massive boost for F-15EX fleet  Breaking Defense,https://news.google.com/rss/articles/CBMiigFBVV95cUxNRkF0dGVMMG9teVhyVlYwWTRPc1VWNkYtbnpMaDVmX1hNbFlmelJNUHVDUS1rWVRGRDBXVU11dEh1TV9UZnl4cFZBYjZsZXUxUDVDZzQzRi1EQ0FQMlMwM1BJVUFDQ0xDanFGWmRISjVwODZJdGVsc2dhS0lTai1MSUZOY0VwZnZiUEE?oc=5
